name,salary,currency,experience,location,link,skills
Руководитель службы поддержки 1С ЗУП (Тимлид),325000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/114559677,"1С: Зарплата и управление персоналом, руководство командой разработчиков"
Pre-sale Аналитик,150000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127509363,
AI Engineer (ex-Python Backend Dev),5000,USD,6,Москва / Россия,https://hh.ru/vacancy/127253822,"LangChain, Qdrant, Python, PyTorch, TensorFlow, RAG, NLP, ML, GenAI, E-Commerce, Английский — B2 — Средне-продвинутый"
AI-разработчик RnD (Research & Development),250000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127578737,
Категорийный менеджер аналитик (маркетплейсы),170000,RUB,1–3,Санкт-Петербург / Россия,https://hh.ru/vacancy/127362842,"Аналитика маркетплейсов, Аналитическое мышление, Обучение и развитие, E-Commerce, Маркетплейсы, Анализ продаж, Аналитика продаж, Управление продажами, Анализ рынка, Анализ ассортиментной линейки, Развитие продаж, Ozon, Wildberries, Маржинальный анализ, Управление ассортиментом, Маркетинговый анализ, Планирование ассортимента, ABC-анализ, Расчет и анализ себестоимости продукции и услуг, Анализ ценообразования, Конкурентная аналитика, Категорийный менеджмент, Анализ конкурентной среды, Контроль и анализ ценообразования, Планирование запасов"
Менеджер продукта,500000,KZT,3–6,Астана / Казахстан,https://hh.ru/vacancy/127932884,
Архитектор 1С / Руководитель отдела код-ревью,300000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/114555299,"Рефакторинг кода, руководство командой разработчиков, 1С: Управление Торговлей, 1С: Предприятие 8, 1С: Бухгалтерия"
Советник по финансово-экономическим вопросам,140000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127591046,"Финансовый анализ, Экономический анализ, Работа с большим объемом информации, Бюджетирование, Финансовое планирование, Стратегическое мышление, Краткосрочное бюджетирование и планирование, Анализ финансовых показателей, Аналитическое мышление, Бизнес-планирование, Стратегическое планирование, Формирование бюджета, Анализ бизнес показателей, Стратегический анализ"
Ведущий программист 1С: ЗУП,290000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/114555448,"1С: ЗУП 2.5, 1С: ЗУП 3.1, Разработка технических заданий, Разработка на платформе «1С: Предприятие 8.3», Рефакторинг кода, Сопровождение 1С: ЗУП, Развитие 1С: ЗУП, Работа с http/web-сервисами"
Системный аналитик 1С,150000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127983247,"1С, 1С программирование, Разработка технических заданий, Аналитическое мышление, API, BPMN, Постановка задач разработчикам"
Аналитик 1С ERP (казначейство / финансы / экономика),230000,RUB,3–6,Новосибирск / Россия,https://hh.ru/vacancy/127533744,"Разработка технических заданий, Разработка инструкций, ERP-системы на базе 1С, Бизнес-анализ, 1C ERP, Bizagi, Mind Map, Моделирование, User Story, Написание ТЗ, Бизнес-аналитика, Описание бизнес-процессов, BPMN, 1С: Предприятие 8, Постановка задач разработчикам, MS Visio, Казначейство, Бюджетирование, Аналитическое мышление"
BI-аналитик,120000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/127440141,
Инженер-электроник / инженер-электронщик,127500,RUB,0,Москва / Россия,https://hh.ru/vacancy/127458946,"Python, C++, Bash, Docker, Git, PyTorch, OpenCV, Altium Designer"
Ведущий менеджер по продажам,120000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127815063,"Навыки продаж, Грамотная речь, Деловая переписка, Ведение переговоров, Работа в команде, Телефонные переговоры, Аналитика продаж, Заключение договоров, Деловое общение, amoCRM, Проведение презентаций, Навыки презентации, Подготовка презентаций, B2B Продажи, Организаторские навыки, Развитие продаж, Планирование продаж, CRM, Ориентация на результат, Клиентоориентированность, Работа с ключевыми клиентами, Навыки делового общения, B2B, Оценка потребностей клиентов, Управление отношениями с клиентами, Управление работой с ключевыми клиентами, Корпоративные продажи, Продажи юридическим лицам, Подготовка коммерческих предложений, Деловая этика"
Операционный менеджер (CEO - 2),400000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/128185929,Английский — B1 — Средний
Sales manager (SaaS b2b),40000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127830236,"Активные продажи, Обучение персонала, Организаторские навыки, Поиск и привлечение клиентов, Планирование продаж, B2B Продажи, Управление продажами, Холодные продажи, Маркетинговая стратегия, Аналитика продаж, SaaS, Развитие продаж"
Специалист по аналитике и презентациям,500000,KZT,3–6,Алматы / Казахстан,https://hh.ru/vacancy/127271152,"Работа с большим объемом информации, MS PowerPoint, Аналитические исследования, Навыки презентации, Анализ данных"
Инженер технической поддержки L2 (продуктовая ИТ-компания),60000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/128126015,"SQL, Общая компьютерная грамотность, Windows Server, Linux, MS SQL, PostgreSQL, DevTools, Console / PowerShell"
Продюсер онлайн-курсов в Edtech (IT/AI-курсы),150000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/128055218,"Организаторские навыки, Управление командой, Аналитическое мышление, Навыки переговоров, Английский — B1 — Средний"
Аналитик BI,200000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127759979,
Финансовый менеджер / Экономист / Аналитик,200000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/127923347,
Партнёр-IT-рекрутер,175000,RUB,1–3,Москва / Россия,https://hh.ru/vacancy/127551544,Рекрутинг
3D разработчик (Blender-JS / Three. js / WebGL / построение квартир по JSON),150000,RUB,1–3,Новосибирск / Россия,https://hh.ru/vacancy/128117752,"JavaScript, Three.js, 3D Моделирование, Blueprint3D, SweetHome3D, Floorplanner, Roomle, WebGL, Blender-JS"
Экономист-аналитик,3000,BYN,3–6,Минск / Беларусь,https://hh.ru/vacancy/127720084,"MS PowerPoint, 1С: Бухгалтерия, MS Excel"
Аналитик по автоматизации бухгалтерского учета,200000,RUB,3–6,Санкт-Петербург / Россия,https://hh.ru/vacancy/127012104,
UX Researcher / Исследователь UX,2200,USD,3–6,Москва / Россия,https://hh.ru/vacancy/127481098,"UX-исследования, Продуктовые метрики, User Experience, Customer Experience, Английский — B2 — Средне-продвинутый"
Технический аналитик,300000,RUB,3–6,Москва / Россия,https://hh.ru/vacancy/126872676,
